Time stamp (UTC);Distance (m);Time;Energy (kCal);Stroke count (#);Average power (W);Maximum power (W);Watt per beat;Watt per KG;Average heart rate (bpm);Average split (s);Minimum split (s);Average work (J);Average stroke length (m);Average stroke time (s);Average stroke rate (SPM);Maximum stroke rate (SPM);Rower age;Rower weight (kg)
2025-10-23 15:54:03.205;500;138;22;61;132,9;174; ;1,87; ;138;126;298;114; ;26,9;29,1;57;71
2025-10-23 17:37:52.382;500;145;20;60;113,5;131; ;1,60; ;145;138;275;115; ;24,9;25,8;57;71
2025-10-24 11:44:05.311;1000;303;36;122;100,0;151; ;1,41; ;151;132;250;110; ;24,2;26,5;57;71
2025-10-21 16:59:11.063;1000;311;35;122;93,3;129; ;1,31; ;155;139;237;108; ;23,9;25,8;57;71
2025-10-25 08:31:01.520;1000;303;36;123;100,4;165; ;1,41; ;152;128;248;109; ;24,4;28,5;57;71
2025-10-24 18:43:46.617;1000;310;35;124;93,5;154; ;1,32; ;155;131;235;109; ;24,0;26,6;57;71
2025-10-27 10:02:05.242;1000;311;34;127;92,4;164; ;1,30; ;156;128;227;108; ;24,6;27,9;57;71
2025-10-26 08:53:35.332;1000;315;34;126;89,6;137; ;1,26; ;157;136;224;107; ;24,3;26,0;57;71
2025-10-27 18:09:14.850;1000;303;36;113;99,6;155; ;1,40; ;152;131;268;120; ;22,6;26,5;57;71
2025-10-28 10:55:45.964;1000;296;38;117;107,8;146; ;1,52; ;148;133;274;116; ;23,8;26,2;57;71
2025-10-28 15:03:50.559;1000;299;37;122;103,6;159; ;1,46; ;150;130;255;111; ;24,6;27,3;57;71
2025-10-29 14:29:44.610;1000;293;39;122;110,6;140; ;1,56; ;147;135;264;115; ;25,1;26,9;57;71
2025-10-29 20:33:27.775;1000;305;36;117;99,2;147; ;1,40; ;152;133;258;116; ;23,4;25,6;57;71
2025-10-30 09:17:27.496;1000;298;37;119;105,1;173; ;1,48; ;149;126;263;113; ;24,1;26,7;57;71
2025-10-30 16:12:21.585;1000;307;36;118;98,6;190; ;1,39; ;152;122;254;109; ;23,6;27,9;57;71
2025-10-31 13:02:08.746;1000;287;40;119;118,2;157; ;1,66; ;144;130;285;117; ;24,9;27,1;57;71
2025-11-02 11:37:40.740;1000;299;37;123;103,9;152; ;1,46; ;150;132;253;111; ;24,7;28,9;57;71
2025-11-03 11:02:50.076;1000;290;40;123;114,4;153; ;1,61; ;145;131;271;115; ;25,5;27,5;57;71
2025-11-03 19:58:50.801;1000;290;40;122;114,7;150; ;1,62; ;145;132;273;118; ;25,3;27,3;57;71
2025-11-04 17:15:32.272;1000;295;39;120;110,5;164; ;1,56; ;147;128;269;116; ;25,0;28,9;57;71
2025-11-05 12:19:29.480;1000;304;36;124;98,5;198; ;1,39; ;152;120;242;111; ;24,6;28,7;57;71
2025-11-06 14:55:58.814;1000;297;38;123;106,6;159; ;1,50; ;148;130;257;114; ;25,1;29,2;57;71
