Stroke (#);Second (#);Timestamp (UTC);Distance (m);Work (J);Actual power (W);Average power (W);Actual split (s);Average split (s);Stroke rate (SPM);Heart rate (bpm)
95;240;2025-11-21T10:49:34Z;813;239,5;110;109,0;147;147;25,0; 
96;243;2025-11-21T10:49:37Z;823;329,3;100;108,9;151;147;25,3; 
97;245;2025-11-21T10:49:39Z;830;292,0;139;109,3;136;147;24,6; 
98;248;2025-11-21T10:49:42Z;840;238,6;120;109,2;142;147;25,0; 
99;250;2025-11-21T10:49:44Z;847;314,2;99;109,4;152;147;24,0; 
100;253;2025-11-21T10:49:47Z;857;259,9;126;109,3;140;147;23,8; 
101;255;2025-11-21T10:49:49Z;864;225,1;103;109,1;150;147;24,0; 
102;258;2025-11-21T10:49:52Z;874;311,6;90;109,3;157;147;23,7; 
103;260;2025-11-21T10:49:54Z;881;230,6;123;109,1;141;147;24,2; 
104;263;2025-11-21T10:49:57Z;890;257,1;93;109,1;155;147;24,3; 
105;265;2025-11-21T10:49:59Z;898;311,7;105;109,2;149;147;24,4; 
106;268;2025-11-21T10:50:02Z;907;194,9;127;109,0;140;147;23,8; 
107;270;2025-11-21T10:50:04Z;914;230,3;77;108,8;165;147;24,8; 
108;273;2025-11-21T10:50:07Z;924;355,7;96;109,1;153;147;24,0; 
109;275;2025-11-21T10:50:09Z;932;303,1;142;109,1;135;147;24,3; 
110;278;2025-11-21T10:50:12Z;942;308,0;123;109,3;141;147;21,9; 
111;280;2025-11-21T10:50:14Z;949;276,6;113;109,3;145;147;21,7; 
112;283;2025-11-21T10:50:17Z;958;259,3;100;109,0;151;147;21,5; 
113;286;2025-11-21T10:50:20Z;968;226,0;93;109,0;155;147;22,3; 
114;288;2025-11-21T10:50:22Z;976;396,9;84;108,8;160;147;23,8; 
115;291;2025-11-21T10:50:25Z;986;287,2;158;109,4;130;147;27,7; 
116;293;2025-11-21T10:50:27Z;994;373,6;133;109,4;138;147;26,7; 
