Stroke (#);Second (#);Timestamp (UTC);Distance (m);Work (J);Actual power (W);Average power (W);Actual split (s);Average split (s);Stroke rate (SPM);Heart rate (bpm)
1;3;2025-11-21T10:45:37Z;7;165,9; ; ; ; ;15,7; 
2;6;2025-11-21T10:45:40Z;16;270,6;44;71,5;199;199;25,8; 
3;8;2025-11-21T10:45:42Z;24;291,3;117;86,6;144;170;25,6; 
4;10;2025-11-21T10:45:44Z;31;265,6;124;86,6;141;159;25,9; 
5;13;2025-11-21T10:45:47Z;41;308,5;115;99,3;144;156;25,2; 
6;15;2025-11-21T10:45:49Z;49;310,2;130;104,0;139;152;24,5; 
7;18;2025-11-21T10:45:52Z;59;323,1;127;107,5;140;149;24,4; 
8;20;2025-11-21T10:45:54Z;67;337,5;132;111,3;138;148;24,8; 
9;23;2025-11-21T10:45:57Z;78;327,4;140;113,0;135;146;24,3; 
10;25;2025-11-21T10:45:59Z;85;333,5;133;113,0;138;145;24,7; 
11;27;2025-11-21T10:46:01Z;93;340,3;138;115,4;136;144;25,1; 
12;30;2025-11-21T10:46:04Z;103;319,1;142;118,9;135;144;24,6; 
13;32;2025-11-21T10:46:06Z;111;336,3;131;120,1;138;143;23,9; 
14;35;2025-11-21T10:46:09Z;122;334,0;134;121,1;137;142;24,0; 
15;37;2025-11-21T10:46:11Z;130;344,8;134;122,2;137;142;24,0; 
16;40;2025-11-21T10:46:14Z;140;342,4;138;123,1;136;142;24,3; 
17;42;2025-11-21T10:46:16Z;148;346,1;139;124,0;136;141;24,0; 
18;45;2025-11-21T10:46:19Z;158;344,2;138;124,7;136;141;23,9; 
19;47;2025-11-21T10:46:21Z;166;323,0;137;125,2;136;141;24,4; 
20;50;2025-11-21T10:46:24Z;176;343,7;132;125,8;138;140;24,0; 
21;52;2025-11-21T10:46:26Z;184;308,4;137;125,7;136;140;23,9; 
22;55;2025-11-21T10:46:29Z;194;334,5;123;125,9;141;140;23,5; 
23;57;2025-11-21T10:46:31Z;202;314,3;131;125,8;138;140;24,0; 
24;60;2025-11-21T10:46:34Z;212;293,7;126;125,5;140;140;23,6; 
25;62;2025-11-21T10:46:36Z;220;342,3;116;125,5;144;140;23,6; 
26;65;2025-11-21T10:46:39Z;230;354,7;135;126,6;137;140;24,1; 
27;67;2025-11-21T10:46:41Z;238;314,2;143;126,5;134;140;24,4; 
28;70;2025-11-21T10:46:44Z;248;319,3;128;126,6;139;140;23,6; 
29;72;2025-11-21T10:46:46Z;255;262,0;126;125,8;140;140;24,5; 
30;75;2025-11-21T10:46:49Z;265;314,3;107;126,0;148;140;24,5; 
31;77;2025-11-21T10:46:51Z;273;271,0;129;125,2;139;140;23,2; 
32;80;2025-11-21T10:46:54Z;283;321,1;105;125,2;149;140;22,5; 
33;83;2025-11-21T10:46:57Z;293;289,6;121;124,5;142;140;22,2; 
34;84;2025-11-21T10:46:58Z;300;280,2;107;123,9;148;141;22,5; 
35;88;2025-11-21T10:47:02Z;310;316,5;105;123,9;149;141;23,0; 
36;90;2025-11-21T10:47:04Z;318;308,9;122;123,9;142;141;23,9; 
37;93;2025-11-21T10:47:07Z;328;280,8;123;123,3;141;141;22,8; 
38;96;2025-11-21T10:47:10Z;337;238,5;107;122,6;148;141;23,6; 
39;98;2025-11-21T10:47:12Z;344;247,3;94;122,0;154;142;23,8; 
40;101;2025-11-21T10:47:15Z;354;285,6;98;121,5;152;142;22,0; 
41;104;2025-11-21T10:47:18Z;363;269,1;105;120,8;149;142;21,5; 
42;106;2025-11-21T10:47:20Z;370;249,9;97;120,1;153;142;21,8; 
43;109;2025-11-21T10:47:23Z;380;286,1;91;119,7;156;142;22,0; 
44;112;2025-11-21T10:47:26Z;390;293,3;105;119,4;149;143;22,2; 
45;114;2025-11-21T10:47:28Z;397;274,2;109;119,4;147;143;22,5; 
46;117;2025-11-21T10:47:31Z;407;303,0;103;118,8;150;143;21,9; 
47;120;2025-11-21T10:47:34Z;417;299,1;111;118,7;146;143;22,6; 
48;122;2025-11-21T10:47:36Z;424;271,4;113;118,7;145;143;22,3; 
49;125;2025-11-21T10:47:39Z;434;248,8;101;117,9;151;143;22,9; 
50;128;2025-11-21T10:47:42Z;444;270,6;95;117,7;154;144;23,6; 
51;130;2025-11-21T10:47:44Z;451;251,3;107;117,3;148;144;23,2; 
52;133;2025-11-21T10:47:47Z;460;268,2;97;117,0;153;144;23,2; 
53;135;2025-11-21T10:47:49Z;467;227,2;104;116,5;149;144;24,0; 
54;138;2025-11-21T10:47:52Z;477;295,9;91;116,5;156;144;23,0; 
55;140;2025-11-21T10:47:54Z;484;258,2;114;116,5;145;144;24,1; 
56;143;2025-11-21T10:47:57Z;493;235,1;104;116,2;149;144;23,7; 
57;144;2025-11-21T10:47:58Z;500;241,0;93;115,8;155;144;23,8; 
58;148;2025-11-21T10:48:02Z;510;256,9;96;115,5;153;144;23,6; 
59;150;2025-11-21T10:48:04Z;517;221,4;101;115,2;151;144;24,4; 
60;153;2025-11-21T10:48:07Z;526;240,0;90;114,8;157;145;24,2; 
61;155;2025-11-21T10:48:09Z;533;211,7;97;114,5;153;145;24,3; 
62;158;2025-11-21T10:48:12Z;543;292,9;86;114,1;159;145;23,5; 
63;160;2025-11-21T10:48:14Z;550;248,3;115;114,1;144;145;23,4; 
64;163;2025-11-21T10:48:17Z;559;214,7;97;113,8;153;145;23,8; 
65;165;2025-11-21T10:48:19Z;565;198,0;85;113,4;160;145;24,5; 
66;168;2025-11-21T10:48:22Z;575;272,0;81;112,9;162;146;24,0; 
67;170;2025-11-21T10:48:24Z;582;248,6;109;112,9;147;146;23,6; 
68;173;2025-11-21T10:48:27Z;591;231,1;98;112,7;152;146;23,9; 
69;175;2025-11-21T10:48:29Z;598;247,6;92;112,3;156;146;23,9; 
70;178;2025-11-21T10:48:32Z;608;244,9;99;112,1;152;146;23,6; 
71;180;2025-11-21T10:48:34Z;615;301,2;96;111,9;153;146;24,0; 
72;183;2025-11-21T10:48:37Z;625;257,9;121;112,0;142;146;24,0; 
73;186;2025-11-21T10:48:40Z;635;296,1;103;112,0;150;146;23,6; 
74;188;2025-11-21T10:48:42Z;641;209,8;117;111,6;144;146;24,0; 
75;191;2025-11-21T10:48:45Z;650;218,7;84;111,3;160;146;23,6; 
76;193;2025-11-21T10:48:47Z;657;210,2;86;110,9;159;146;23,6; 
77;196;2025-11-21T10:48:50Z;666;224,1;83;110,6;161;147;24,0; 
78;198;2025-11-21T10:48:52Z;674;314,9;90;110,8;157;147;23,4; 
79;201;2025-11-21T10:48:55Z;683;252,7;123;110,7;141;147;24,1; 
80;203;2025-11-21T10:48:57Z;691;294,5;102;110,8;150;147;24,0; 
81;206;2025-11-21T10:49:00Z;702;386,9;118;111,3;143;147;24,1; 
82;208;2025-11-21T10:49:02Z;708;199,5;156;110,9;130;146;24,3; 
83;210;2025-11-21T10:49:04Z;715;217,3;81;110,9;162;147;25,1; 
84;213;2025-11-21T10:49:07Z;724;246,6;91;110,7;156;147;24,1; 
85;215;2025-11-21T10:49:09Z;731;242,9;99;110,6;152;147;23,4; 
86;218;2025-11-21T10:49:12Z;740;220,5;95;110,1;154;147;23,0; 
87;221;2025-11-21T10:49:15Z;749;205,2;85;109,7;160;147;23,5; 
88;223;2025-11-21T10:49:17Z;757;267,2;80;109,8;163;147;24,1; 
89;226;2025-11-21T10:49:20Z;766;215,4;108;109,4;147;147;23,7; 
90;228;2025-11-21T10:49:22Z;772;226,0;85;109,2;160;147;23,5; 
91;231;2025-11-21T10:49:25Z;781;200,0;89;108,9;157;147;23,7; 
92;233;2025-11-21T10:49:27Z;789;260,0;79;108,9;164;147;24,4; 
93;236;2025-11-21T10:49:30Z;798;297,1;106;109,0;148;147;24,2; 
94;238;2025-11-21T10:49:32Z;806;268,1;120;109,0;142;147;24,6; 
