Stroke (#);Second (#);Timestamp (UTC);Distance (m);Work (J);Actual power (W);Average power (W);Actual split (s);Average split (s);Stroke rate (SPM);Heart rate (bpm)
28;69;2025-11-20T19:55:50Z;229;261,1;124;104,2;141;149;24,4; 
29;71;2025-11-20T19:55:52Z;236;267,6;107;104,4;148;149;25,0; 
30;73;2025-11-20T19:55:54Z;243;208,2;112;104,4;146;149;24,5; 
31;76;2025-11-20T19:55:57Z;252;238,6;85;103,7;160;150;24,6; 
32;78;2025-11-20T19:55:59Z;260;280,3;98;103,6;152;150;24,2; 
33;81;2025-11-20T19:56:02Z;269;220,3;113;103,6;145;150;25,1; 
34;83;2025-11-20T19:56:04Z;276;279,6;92;103,7;156;150;23,5; 
35;86;2025-11-20T19:56:07Z;285;248,9;110;103,6;147;150;23,6; 
36;88;2025-11-20T19:56:09Z;292;241,5;98;103,4;152;150;24,1; 
37;91;2025-11-20T19:56:12Z;302;258,4;97;103,4;153;150;24,0; 
38;93;2025-11-20T19:56:14Z;309;227,8;104;103,1;149;150;24,2; 
39;96;2025-11-20T19:56:17Z;317;178,3;92;102,5;156;150;25,9; 
40;98;2025-11-20T19:56:19Z;324;245,0;77;102,5;165;150;25,8; 
41;100;2025-11-20T19:56:21Z;331;211,3;106;102,3;148;150;25,7; 
42;103;2025-11-20T19:56:24Z;341;305,5;91;103,0;156;150;25,9; 
43;105;2025-11-20T19:56:26Z;348;255,0;132;103,0;138;150;24,8; 
44;107;2025-11-20T19:56:28Z;355;251,8;106;103,1;148;150;25,5; 
45;110;2025-11-20T19:56:31Z;365;241,6;107;103,1;148;150;25,2; 
46;112;2025-11-20T19:56:33Z;371;213,4;102;102,8;150;150;25,5; 
47;114;2025-11-20T19:56:35Z;378;257,4;91;102,8;156;150;24,8; 
48;117;2025-11-20T19:56:38Z;387;220,1;107;102,7;148;150;25,6; 
49;119;2025-11-20T19:56:40Z;395;313,9;94;103,3;154;150;25,3; 
50;122;2025-11-20T19:56:43Z;405;304,5;132;103,7;138;150;24,1; 
51;124;2025-11-20T19:56:45Z;412;218,8;123;103,7;141;150;25,9; 
52;126;2025-11-20T19:56:47Z;419;233,9;95;103,5;154;150;24,7; 
53;129;2025-11-20T19:56:50Z;428;202,5;97;103,1;153;150;25,6; 
54;131;2025-11-20T19:56:52Z;435;224,5;87;102,8;159;150;23,5; 
55;134;2025-11-20T19:56:55Z;444;224,4;88;102,6;158;150;24,6; 
56;136;2025-11-20T19:56:57Z;451;276,9;92;102,8;156;150;25,0; 
57;138;2025-11-20T19:56:59Z;458;188,5;115;102,8;144;150;25,6; 
58;141;2025-11-20T19:57:02Z;467;222,1;81;102,5;162;150;24,5; 
59;143;2025-11-20T19:57:04Z;474;244,0;91;102,2;156;150;24,6; 
60;146;2025-11-20T19:57:07Z;482;185,2;100;101,8;151;150;24,6; 
61;148;2025-11-20T19:57:09Z;490;295,9;76;102,2;166;151;25,0; 
62;150;2025-11-20T19:57:11Z;499;205,0;123;101,8;141;150;24,2; 
63;153;2025-11-20T19:57:14Z;506;214,6;83;101,6;161;151;24,0; 
64;156;2025-11-20T19:57:17Z;515;210,2;86;101,3;159;151;24,0; 
65;158;2025-11-20T19:57:19Z;521;239,8;84;101,2;160;151;24,0; 
66;161;2025-11-20T19:57:22Z;530;208,8;96;100,9;153;151;24,0; 
67;163;2025-11-20T19:57:24Z;537;196,2;84;100,6;160;151;24,2; 
68;165;2025-11-20T19:57:26Z;544;218,9;79;100,6;164;151;24,4; 
69;168;2025-11-20T19:57:29Z;552;187,9;89;100,0;157;151;23,6; 
70;171;2025-11-20T19:57:32Z;562;240,0;74;100,0;167;151;24,2; 
71;173;2025-11-20T19:57:34Z;568;217,4;97;100,0;153;151;24,0; 
72;175;2025-11-20T19:57:36Z;575;206,1;87;99,8;159;152;24,2; 
73;178;2025-11-20T19:57:39Z;584;188,1;83;99,6;161;152;24,1; 
74;180;2025-11-20T19:57:41Z;591;276,9;76;99,2;166;152;24,0; 
75;182;2025-11-20T19:57:43Z;600;201,7;111;99,4;146;152;23,5; 
76;185;2025-11-20T19:57:46Z;607;259,6;79;99,1;164;152;24,0; 
77;188;2025-11-20T19:57:49Z;617;265,1;104;99,3;149;152;23,7; 
78;191;2025-11-20T19:57:52Z;626;221,2;105;99,1;149;152;23,6; 
79;193;2025-11-20T19:57:54Z;633;273,7;87;99,2;159;152;23,3; 
80;196;2025-11-20T19:57:57Z;642;205,4;107;99,0;148;152;24,0; 
81;198;2025-11-20T19:57:59Z;649;233,6;82;98,9;162;152;23,3; 
82;201;2025-11-20T19:58:02Z;659;297,8;91;99,2;156;152;25,0; 
83;203;2025-11-20T19:58:04Z;667;332,8;124;99,2;141;152;25,3; 
84;205;2025-11-20T19:58:06Z;675;322,2;140;99,7;135;152;25,0; 
85;208;2025-11-20T19:58:09Z;684;226,9;134;100,0;137;151;26,0; 
86;210;2025-11-20T19:58:11Z;690;210,3;99;100,0;152;151;25,9; 
87;212;2025-11-20T19:58:13Z;698;271,2;91;99,9;156;152;24,3; 
88;215;2025-11-20T19:58:16Z;706;187,8;110;99,8;147;151;25,2; 
89;217;2025-11-20T19:58:18Z;714;264,3;79;99,9;164;152;24,4; 
90;220;2025-11-20T19:58:21Z;723;220,3;108;99,8;147;152;24,1; 
91;222;2025-11-20T19:58:23Z;730;221,0;89;99,7;157;152;25,0; 
92;225;2025-11-20T19:58:26Z;739;227,7;92;99,6;156;152;24,5; 
93;227;2025-11-20T19:58:28Z;746;228,3;93;99,6;155;152;25,3; 
94;229;2025-11-20T19:58:30Z;753;309,0;96;99,9;153;152;25,4; 
95;232;2025-11-20T19:58:33Z;764;364,8;131;100,4;138;152;24,7; 
96;234;2025-11-20T19:58:35Z;770;199,2;151;100,3;132;151;25,1; 
97;237;2025-11-20T19:58:38Z;779;199,3;83;100,0;161;151;24,2; 
98;239;2025-11-20T19:58:40Z;786;201,9;81;99,8;162;151;23,5; 
99;242;2025-11-20T19:58:43Z;795;207,4;79;99,7;164;152;24,8; 
100;244;2025-11-20T19:58:45Z;803;350,8;86;100,0;159;152;23,4; 
101;246;2025-11-20T19:58:47Z;810;202,1;137;100,0;136;151;25,3; 
102;249;2025-11-20T19:58:50Z;819;277,3;85;100,0;160;151;24,4; 
103;251;2025-11-20T19:58:52Z;827;341,7;113;100,0;145;151;24,4; 
104;254;2025-11-20T19:58:55Z;838;380,2;139;101,0;136;151;24,5; 
105;256;2025-11-20T19:58:57Z;846;331,3;156;101,3;130;151;24,0; 
106;259;2025-11-20T19:59:00Z;855;215,5;133;101,2;138;151;24,4; 
107;261;2025-11-20T19:59:02Z;861;184,4;88;100,9;158;151;24,1; 
108;264;2025-11-20T19:59:05Z;870;214,1;74;100,8;167;151;23,4; 
109;266;2025-11-20T19:59:07Z;878;261,0;84;100,8;160;151;24,2; 
110;269;2025-11-20T19:59:10Z;887;259,2;106;100,9;148;151;25,2; 
111;271;2025-11-20T19:59:12Z;894;230,9;109;100,9;147;151;25,4; 
112;274;2025-11-20T19:59:15Z;904;301,3;98;101,0;152;151;23,7; 
113;276;2025-11-20T19:59:17Z;912;314,9;119;101,0;143;151;26,0; 
114;278;2025-11-20T19:59:19Z;920;374,0;137;101,3;136;151;28,1; 
115;280;2025-11-20T19:59:21Z;929;388,3;176;102,5;125;151;28,3; 
116;282;2025-11-20T19:59:23Z;937;359,0;183;103,0;124;150;28,1; 
117;284;2025-11-20T19:59:25Z;945;326,6;169;103,0;127;150;28,3; 
118;287;2025-11-20T19:59:28Z;956;354,0;154;103,8;131;150;27,9; 
119;289;2025-11-20T19:59:30Z;963;306,5;165;103,8;128;150;24,2; 
120;292;2025-11-20T19:59:33Z;972;200,3;124;103,8;141;149;23,1; 
121;294;2025-11-20T19:59:35Z;979;193,6;77;103,8;165;150;25,1; 
122;296;2025-11-20T19:59:37Z;987;395,7;81;104,2;162;150;28,3; 
123;298;2025-11-20T19:59:39Z;996;361,9;187;104,7;123;149;28,0; 
