Stroke (#);Second (#);Timestamp (UTC);Distance (m);Work (J);Actual power (W);Average power (W);Actual split (s);Average split (s);Stroke rate (SPM);Heart rate (bpm)
1;3;2025-11-20T19:54:44Z;7;202,4; ; ; ; ;19,9; 
2;5;2025-11-20T19:54:46Z;14;254,6;67; ;173;173;25,6; 
3;7;2025-11-20T19:54:48Z;22;257,1;109;86,2;147;159;25,0; 
4;10;2025-11-20T19:54:51Z;31;255,0;107;95,9;148;156;24,8; 
5;12;2025-11-20T19:54:53Z;39;276,4;106;98,8;148;154;24,5; 
6;15;2025-11-20T19:54:56Z;48;244,8;113;99,3;145;152;24,0; 
7;17;2025-11-20T19:54:58Z;55;248,4;98;98,7;152;152;23,7; 
8;20;2025-11-20T19:55:01Z;64;248,0;98;98,8;152;152;23,3; 
9;22;2025-11-20T19:55:03Z;71;258,7;96;98,9;153;152;24,4; 
10;25;2025-11-20T19:55:06Z;81;246,2;106;98,8;148;152;24,0; 
11;27;2025-11-20T19:55:08Z;88;246,1;99;99,1;152;152;24,6; 
12;30;2025-11-20T19:55:11Z;98;324,6;101;101,7;151;152;24,2; 
13;32;2025-11-20T19:55:13Z;105;282,2;131;102,5;138;151;23,7; 
14;35;2025-11-20T19:55:16Z;115;244,8;112;102,2;146;150;24,2; 
15;37;2025-11-20T19:55:18Z;122;268,6;99;102,8;152;150;25,2; 
16;39;2025-11-20T19:55:20Z;129;235,4;113;102,8;145;150;25,3; 
17;42;2025-11-20T19:55:23Z;139;283,6;99;103,7;152;150;24,8; 
18;44;2025-11-20T19:55:25Z;146;296,0;118;104,5;143;150;24,7; 
19;47;2025-11-20T19:55:28Z;156;292,9;122;105,2;142;149;23,7; 
20;49;2025-11-20T19:55:30Z;163;216,4;116;104,4;144;149;24,3; 
21;52;2025-11-20T19:55:33Z;172;239,2;88;104,0;158;149;24,3; 
22;54;2025-11-20T19:55:35Z;179;238,7;97;103,6;153;149;24,3; 
23;57;2025-11-20T19:55:38Z;189;271,1;97;104,0;153;150;24,3; 
24;59;2025-11-20T19:55:40Z;195;207,6;110;104,0;147;149;25,4; 
25;61;2025-11-20T19:55:42Z;202;236,6;88;103,3;158;150;24,3; 
26;64;2025-11-20T19:55:45Z;212;263,4;96;103,4;153;150;25,3; 
27;66;2025-11-20T19:55:47Z;219;292,2;111;104,0;146;150;25,5; 
