Stroke (#);Second (#);Timestamp (UTC);Distance (m);Work (J);Actual power (W);Average power (W);Actual split (s);Average split (s);Stroke rate (SPM);Heart rate (bpm)
110;269;2025-11-16T14:43:23Z;886;256,8;113;100,4;145;151;25,5; 
111;271;2025-11-16T14:43:25Z;893;250,9;109;100,4;147;151;25,3; 
112;274;2025-11-16T14:43:28Z;902;232,6;106;100,4;148;151;24,5; 
113;276;2025-11-16T14:43:30Z;910;281,4;95;100,4;154;151;26,4; 
114;278;2025-11-16T14:43:32Z;917;313,3;124;100,9;141;151;25,6; 
115;281;2025-11-16T14:43:35Z;927;274,5;134;101,0;137;151;26,4; 
116;283;2025-11-16T14:43:37Z;934;278,0;121;101,0;142;151;24,8; 
117;285;2025-11-16T14:43:39Z;941;214,8;115;101,2;144;151;23,7; 
118;288;2025-11-16T14:43:42Z;950;210,3;85;100,9;160;151;25,2; 
119;290;2025-11-16T14:43:44Z;957;254,5;88;101,0;158;151;25,3; 
120;292;2025-11-16T14:43:46Z;964;219,1;107;101,0;148;151;26,0; 
121;295;2025-11-16T14:43:49Z;975;373,3;95;101,4;154;151;27,7; 
122;297;2025-11-16T14:43:51Z;983;387,4;173;101,4;126;151;26,3; 
123;299;2025-11-16T14:43:53Z;992;378,4;170;102,5;127;151;26,9; 
