Stroke (#);Second (#);Timestamp (UTC);Distance (m);Work (J);Actual power (W);Average power (W);Actual split (s);Average split (s);Stroke rate (SPM);Heart rate (bpm)
1;3;2025-11-16T14:38:57Z;6;154,1; ; ; ; ;16,7; 
2;6;2025-11-16T14:39:00Z;16;280,3;43; ;201;201;21,9; 
3;9;2025-11-16T14:39:03Z;26;248,5;103;76,7;150;172;23,0; 
4;11;2025-11-16T14:39:05Z;33;229,3;96;79,3;153;166;22,9; 
5;14;2025-11-16T14:39:08Z;42;257,7;88;82,9;158;164;23,2; 
6;16;2025-11-16T14:39:10Z;49;255,4;100;85,8;151;162;23,6; 
7;19;2025-11-16T14:39:13Z;58;217,5;101;86,0;151;160;24,3; 
8;21;2025-11-16T14:39:15Z;66;269,3;88;86,0;158;159;22,9; 
9;24;2025-11-16T14:39:18Z;75;246,9;103;88,1;150;158;24,0; 
10;26;2025-11-16T14:39:20Z;82;260,8;99;88,8;152;158;23,4; 
11;29;2025-11-16T14:39:23Z;92;261,6;102;90,2;150;157;23,9; 
12;30;2025-11-16T14:39:24Z;99;303,0;104;91,5;149;156;23,7; 
13;34;2025-11-16T14:39:28Z;108;208,2;120;93,5;142;155;23,8; 
14;37;2025-11-16T14:39:31Z;118;314,9;83;94,5;161;156;22,4; 
15;39;2025-11-16T14:39:33Z;126;267,7;118;95,0;143;154;22,7; 
16;42;2025-11-16T14:39:36Z;135;267,6;101;95,0;151;154;23,2; 
17;45;2025-11-16T14:39:39Z;145;271,9;104;96,0;149;154;22,7; 
18;47;2025-11-16T14:39:41Z;152;228,7;103;95,6;150;153;23,0; 
19;50;2025-11-16T14:39:44Z;161;230,0;88;95,2;158;154;23,3; 
20;52;2025-11-16T14:39:46Z;167;202,6;89;94,6;157;154;23,6; 
21;55;2025-11-16T14:39:49Z;177;312,4;80;95,8;163;154;23,1; 
22;57;2025-11-16T14:39:51Z;185;277,0;121;95,8;142;154;23,7; 
23;60;2025-11-16T14:39:54Z;194;215,4;109;96,2;147;153;23,5; 
24;61;2025-11-16T14:39:55Z;200;214,5;84;95,8;160;154;23,1; 
25;65;2025-11-16T14:39:59Z;209;229,2;83;95,3;161;154;24,4; 
26;68;2025-11-16T14:40:02Z;218;168,1;94;94,1;154;154;23,0; 
27;70;2025-11-16T14:40:04Z;226;320,7;65;95,2;175;154;23,8; 
28;72;2025-11-16T14:40:06Z;233;228,7;127;95,2;140;154;24,7; 
29;75;2025-11-16T14:40:09Z;242;244,6;94;95,3;154;154;23,4; 
30;78;2025-11-16T14:40:12Z;252;254,3;96;95,3;153;154;23,7; 
31;80;2025-11-16T14:40:14Z;259;287,5;100;96,0;151;154;24,0; 
32;82;2025-11-16T14:40:16Z;266;257,4;115;96,0;144;153;24,8; 
33;85;2025-11-16T14:40:19Z;276;301,3;107;96,3;148;153;24,5; 
34;87;2025-11-16T14:40:21Z;283;243,4;123;97,2;141;153;25,7; 
35;90;2025-11-16T14:40:24Z;293;294,6;104;97,9;149;153;24,8; 
36;91;2025-11-16T14:40:25Z;300;210,3;122;97,6;142;153;25,1; 
37;94;2025-11-16T14:40:28Z;308;339,1;88;97,6;158;153;25,1; 
38;97;2025-11-16T14:40:31Z;317;243,1;142;98,9;135;152;25,7; 
39;99;2025-11-16T14:40:33Z;324;222,3;104;98,7;149;152;25,0; 
40;102;2025-11-16T14:40:36Z;333;207,5;93;98,5;155;152;25,2; 
41;104;2025-11-16T14:40:38Z;340;257,4;87;98,5;159;152;24,6; 
42;106;2025-11-16T14:40:40Z;347;246,9;106;98,8;148;152;25,6; 
43;109;2025-11-16T14:40:43Z;357;262,7;106;99,2;148;152;26,2; 
44;111;2025-11-16T14:40:45Z;364;287,4;115;99,2;144;152;26,2; 
45;113;2025-11-16T14:40:47Z;371;257,6;125;99,9;140;152;25,2; 
46;116;2025-11-16T14:40:50Z;381;308,3;108;100,4;147;152;24,5; 
47;118;2025-11-16T14:40:52Z;388;251,4;126;100,5;140;151;25,2; 
48;120;2025-11-16T14:40:54Z;396;283,2;106;100,5;148;151;25,2; 
49;123;2025-11-16T14:40:57Z;405;219,8;119;100,9;143;151;25,1; 
50;125;2025-11-16T14:40:59Z;412;252,2;92;100,8;156;151;24,7; 
51;128;2025-11-16T14:41:02Z;422;302,5;104;101,3;149;151;25,0; 
52;130;2025-11-16T14:41:04Z;429;284,5;126;101,6;140;151;24,6; 
53;132;2025-11-16T14:41:06Z;436;206,9;117;101,6;144;151;25,2; 
54;135;2025-11-16T14:41:09Z;445;222,5;87;101,3;159;151;25,1; 
55;137;2025-11-16T14:41:11Z;452;265,5;93;101,4;155;151;25,9; 
56;140;2025-11-16T14:41:14Z;462;239,8;115;101,3;144;151;24,5; 
57;142;2025-11-16T14:41:16Z;468;220,3;98;101,2;152;151;25,0; 
58;144;2025-11-16T14:41:18Z;475;233,3;92;101,2;156;151;24,8; 
59;147;2025-11-16T14:41:21Z;484;222,0;97;101,0;153;151;25,3; 
60;149;2025-11-16T14:41:23Z;492;322,9;94;101,0;154;151;27,3; 
61;150;2025-11-16T14:41:24Z;500;272,0;147;101,7;133;151;24,3; 
62;154;2025-11-16T14:41:28Z;508;203,7;111;101,6;146;151;25,6; 
63;156;2025-11-16T14:41:30Z;516;252,7;87;101,6;159;151;25,3; 
64;159;2025-11-16T14:41:33Z;525;242,0;107;101,7;148;151;25,5; 
65;161;2025-11-16T14:41:35Z;532;265,9;103;101,7;150;151;25,8; 
66;163;2025-11-16T14:41:37Z;539;246,4;115;101,9;144;151;25,5; 
67;166;2025-11-16T14:41:40Z;549;239,4;105;101,8;149;151;24,3; 
68;168;2025-11-16T14:41:42Z;555;185,3;97;101,4;153;151;24,0; 
69;170;2025-11-16T14:41:44Z;562;198,4;74;101,4;167;151;25,6; 
70;173;2025-11-16T14:41:47Z;571;251,7;85;101,2;160;151;24,5; 
71;175;2025-11-16T14:41:49Z;578;228,2;103;101,1;150;151;25,2; 
72;178;2025-11-16T14:41:52Z;587;242,0;96;101,1;153;151;25,0; 
73;180;2025-11-16T14:41:54Z;594;218,6;101;101,0;151;151;25,2; 
74;183;2025-11-16T14:41:57Z;603;188,4;92;100,7;156;151;24,6; 
75;185;2025-11-16T14:41:59Z;609;189,6;78;100,5;164;151;25,9; 
76;187;2025-11-16T14:42:01Z;615;190,3;82;100,2;162;151;25,4; 
77;190;2025-11-16T14:42:04Z;625;239,4;81;100,3;162;151;25,6; 
78;192;2025-11-16T14:42:06Z;632;254,2;102;100,4;150;151;25,9; 
79;194;2025-11-16T14:42:08Z;639;249,4;110;100,4;147;151;25,4; 
80;197;2025-11-16T14:42:11Z;648;214,2;106;100,3;148;151;25,6; 
81;199;2025-11-16T14:42:13Z;655;237,6;92;100,3;156;151;25,7; 
82;201;2025-11-16T14:42:15Z;662;259,3;102;100,4;150;151;25,2; 
83;204;2025-11-16T14:42:18Z;671;230,6;109;100,4;147;151;25,0; 
84;206;2025-11-16T14:42:20Z;678;210,9;96;100,4;153;151;25,5; 
85;208;2025-11-16T14:42:22Z;685;208,5;90;100,3;157;151;25,0; 
86;211;2025-11-16T14:42:25Z;694;230,2;87;100,0;159;151;25,1; 
87;213;2025-11-16T14:42:27Z;701;286,7;96;100,3;153;151;25,5; 
88;216;2025-11-16T14:42:30Z;711;270,5;122;100,4;142;151;24,6; 
89;218;2025-11-16T14:42:32Z;718;227,5;111;100,4;146;151;25,4; 
90;220;2025-11-16T14:42:34Z;725;268,7;96;100,5;153;151;25,7; 
91;223;2025-11-16T14:42:37Z;735;264,6;115;100,6;144;151;24,8; 
92;225;2025-11-16T14:42:39Z;741;235,4;110;100,6;147;151;24,7; 
93;228;2025-11-16T14:42:42Z;751;208,6;97;100,4;153;151;24,3; 
94;230;2025-11-16T14:42:44Z;757;233,6;85;100,4;160;151;24,6; 
95;232;2025-11-16T14:42:46Z;764;210,0;96;100,4;153;151;24,7; 
96;235;2025-11-16T14:42:49Z;773;220,4;87;100,2;159;151;24,0; 
97;237;2025-11-16T14:42:51Z;780;226,3;89;100,0;157;151;24,7; 
98;240;2025-11-16T14:42:54Z;790;277,8;94;100,2;154;151;24,7; 
99;242;2025-11-16T14:42:56Z;797;277,1;115;100,4;144;151;25,6; 
100;245;2025-11-16T14:42:59Z;807;282,5;118;100,5;143;151;23,9; 
101;247;2025-11-16T14:43:01Z;813;192,5;113;100,5;145;151;25,0; 
102;249;2025-11-16T14:43:03Z;820;258,6;80;100,3;163;151;24,0; 
103;252;2025-11-16T14:43:06Z;830;275,2;104;100,3;149;151;25,0; 
104;254;2025-11-16T14:43:08Z;837;261,8;115;100,5;144;151;25,1; 
105;257;2025-11-16T14:43:11Z;846;186,4;110;100,3;147;151;24,5; 
106;259;2025-11-16T14:43:13Z;852;194,2;76;100,0;166;151;24,1; 
107;262;2025-11-16T14:43:16Z;862;232,5;78;100,0;164;151;24,6; 
108;264;2025-11-16T14:43:18Z;869;277,3;96;100,2;153;151;24,5; 
109;266;2025-11-16T14:43:20Z;876;275,1;114;100,2;145;151;24,6; 
